cod_municipio,municipio,ano,situacao,populacao
4100608,Alto Paraná (PR),2000,Rural,2603
4100707,Alto Piquiri (PR),2000,Total,10761
4100707,Alto Piquiri (PR),2000,Urbana,8405
4100707,Alto Piquiri (PR),2000,Rural,2356
4100806,Alvorada do Sul (PR),2000,Total,9253
4100806,Alvorada do Sul (PR),2000,Urbana,7015
4100806,Alvorada do Sul (PR),2000,Rural,2238
4100905,Amaporã (PR),2000,Total,4655
4100905,Amaporã (PR),2000,Urbana,3587
4100905,Amaporã (PR),2000,Rural,1068
4101002,Ampére (PR),2000,Total,15623
4101002,Ampére (PR),2000,Urbana,10403
4101002,Ampére (PR),2000,Rural,5220
4101051,Anahy (PR),2000,Total,3011
4101051,Anahy (PR),2000,Urbana,1640
4101051,Anahy (PR),2000,Rural,1371
4101101,Andirá (PR),2000,Total,21663
4101101,Andirá (PR),2000,Urbana,19927
4101101,Andirá (PR),2000,Rural,1736
4101150,Ângulo (PR),2000,Total,2840
4101150,Ângulo (PR),2000,Urbana,2150
4101150,Ângulo (PR),2000,Rural,690
4101200,Antonina (PR),2000,Total,19174
4101200,Antonina (PR),2000,Urbana,15837
4101200,Antonina (PR),2000,Rural,3337
4101309,Antônio Olinto (PR),2000,Total,7407
4101309,Antônio Olinto (PR),2000,Urbana,612
4101309,Antônio Olinto (PR),2000,Rural,6795
4101408,Apucarana (PR),2000,Total,107827
4101408,Apucarana (PR),2000,Urbana,100249
4101408,Apucarana (PR),2000,Rural,7578
4101507,Arapongas (PR),2000,Total,85428
4101507,Arapongas (PR),2000,Urbana,81790
4101507,Arapongas (PR),2000,Rural,3638
4101606,Arapoti (PR),2000,Total,23884
4101606,Arapoti (PR),2000,Urbana,17487
4101606,Arapoti (PR),2000,Rural,6397
4101655,Arapuã (PR),2000,Total,4172
4101655,Arapuã (PR),2000,Urbana,1209
4101655,Arapuã (PR),2000,Rural,2963
4101705,Araruna (PR),2000,Total,13081
4101705,Araruna (PR),2000,Urbana,9134
4101705,Araruna (PR),2000,Rural,3947
4101804,Araucária (PR),2000,Total,94258
4101804,Araucária (PR),2000,Urbana,86111
4101804,Araucária (PR),2000,Rural,8147
4101853,Ariranha do Ivaí (PR),2000,Total,2883
4101853,Ariranha do Ivaí (PR),2000,Urbana,697
4101853,Ariranha do Ivaí (PR),2000,Rural,2186
4101903,Assaí (PR),2000,Total,18045
4101903,Assaí (PR),2000,Urbana,13517
4101903,Assaí (PR),2000,Rural,4528
4102000,Assis Chateaubriand (PR),2000,Total,33317
4102000,Assis Chateaubriand (PR),2000,Urbana,27052
4102000,Assis Chateaubriand (PR),2000,Rural,6265
4102109,Astorga (PR),2000,Total,23637
4102109,Astorga (PR),2000,Urbana,20476
4102109,Astorga (PR),2000,Rural,3161
4102208,Atalaia (PR),2000,Total,4015
4102208,Atalaia (PR),2000,Urbana,3327
4102208,Atalaia (PR),2000,Rural,688
4102307,Balsa Nova (PR),2000,Total,10153
4102307,Balsa Nova (PR),2000,Urbana,3186
4102307,Balsa Nova (PR),2000,Rural,6967
4102406,Bandeirantes (PR),2000,Total,33732
4102406,Bandeirantes (PR),2000,Urbana,27720
4102406,Bandeirantes (PR),2000,Rural,6012
4102505,Barbosa Ferraz (PR),2000,Total,14110
4102505,Barbosa Ferraz (PR),2000,Urbana,9735
4102505,Barbosa Ferraz (PR),2000,Rural,4375
4102604,Barracão (PR),2000,Total,9271
4102604,Barracão (PR),2000,Urbana,5825
4102604,Barracão (PR),2000,Rural,3446
4102703,Barra do Jacaré (PR),2000,Total,2723
4102703,Barra do Jacaré (PR),2000,Urbana,1693
4102703,Barra do Jacaré (PR),2000,Rural,1030
4102752,Bela Vista da Caroba (PR),2000,Total,4503
4102752,Bela Vista da Caroba (PR),2000,Urbana,757
4102752,Bela Vista da Caroba (PR),2000,Rural,3746
4102802,Bela Vista do Paraíso (PR),2000,Total,15031
4102802,Bela Vista do Paraíso (PR),2000,Urbana,13860
4102802,Bela Vista do Paraíso (PR),2000,Rural,1171
4102901,Bituruna (PR),2000,Total,15733
4102901,Bituruna (PR),2000,Urbana,7506
4102901,Bituruna (PR),2000,Rural,8227
4103008,Boa Esperança (PR),2000,Total,5162
4103008,Boa Esperança (PR),2000,Urbana,2579
4103008,Boa Esperança (PR),2000,Rural,2583
4103024,Boa Esperança do Iguaçu (PR),2000,Total,3107
4103024,Boa Esperança do Iguaçu (PR),2000,Urbana,564
4103024,Boa Esperança do Iguaçu (PR),2000,Rural,2543
4103040,Boa Ventura de São Roque (PR),2000,Total,6780
4103040,Boa Ventura de São Roque (PR),2000,Urbana,1080
4103040,Boa Ventura de São Roque (PR),2000,Rural,5700
4103057,Boa Vista da Aparecida (PR),2000,Total,8423
4103057,Boa Vista da Aparecida (PR),2000,Urbana,4565
4103057,Boa Vista da Aparecida (PR),2000,Rural,3858
4103107,Bocaiúva do Sul (PR),2000,Total,9050
4103107,Bocaiúva do Sul (PR),2000,Urbana,3562
4103107,Bocaiúva do Sul (PR),2000,Rural,5488
4103156,Bom Jesus do Sul (PR),2000,Total,4154
4103156,Bom Jesus do Sul (PR),2000,Urbana,382
4103156,Bom Jesus do Sul (PR),2000,Rural,3772
4103206,Bom Sucesso (PR),2000,Total,6173
4103206,Bom Sucesso (PR),2000,Urbana,4724
4103206,Bom Sucesso (PR),2000,Rural,1449
4103222,Bom Sucesso do Sul (PR),2000,Total,3392
4103222,Bom Sucesso do Sul (PR),2000,Urbana,1307
4103222,Bom Sucesso do Sul (PR),2000,Rural,2085
4103305,Borrazópolis (PR),2000,Total,9453
4103305,Borrazópolis (PR),2000,Urbana,6432
4103305,Borrazópolis (PR),2000,Rural,3021
4103354,Braganey (PR),2000,Total,6191
4103354,Braganey (PR),2000,Urbana,2780
4103354,Braganey (PR),2000,Rural,3411
4103370,Brasilândia do Sul (PR),2000,Total,3889
4103370,Brasilândia do Sul (PR),2000,Urbana,2367
4103370,Brasilândia do Sul (PR),2000,Rural,1522
4103404,Cafeara (PR),2000,Total,2485
4103404,Cafeara (PR),2000,Urbana,1781
4103404,Cafeara (PR),2000,Rural,704
4103453,Cafelândia (PR),2000,Total,11143
4103453,Cafelândia (PR),2000,Urbana,8551
4103453,Cafelândia (PR),2000,Rural,2592
4103479,Cafezal do Sul (PR),2000,Total,4648
4103479,Cafezal do Sul (PR),2000,Urbana,3069
4103479,Cafezal do Sul (PR),2000,Rural,1579
4103503,Califórnia (PR),2000,Total,7678
4103503,Califórnia (PR),2000,Urbana,5664
4103503,Califórnia (PR),2000,Rural,2014
4103602,Cambará (PR),2000,Total,22740
4103602,Cambará (PR),2000,Urbana,20022
4103602,Cambará (PR),2000,Rural,2718
4103701,Cambé (PR),2000,Total,88186
4103701,Cambé (PR),2000,Urbana,81942
4103701,Cambé (PR),2000,Rural,6244
4103800,Cambira (PR),2000,Total,6688
4103800,Cambira (PR),2000,Urbana,4194
4103800,Cambira (PR),2000,Rural,2494
4103909,Campina da Lagoa (PR),2000,Total,17018
4103909,Campina da Lagoa (PR),2000,Urbana,12692
4103909,Campina da Lagoa (PR),2000,Rural,4326
4103958,Campina do Simão (PR),2000,Total,4365
4103958,Campina do Simão (PR),2000,Urbana,1261
4103958,Campina do Simão (PR),2000,Rural,3104
4104006,Campina Grande do Sul (PR),2000,Total,34566
4104006,Campina Grande do Sul (PR),2000,Urbana,25973
4104006,Campina Grande do Sul (PR),2000,Rural,8593
4104055,Campo Bonito (PR),2000,Total,5128
4104055,Campo Bonito (PR),2000,Urbana,2260
4104055,Campo Bonito (PR),2000,Rural,2868
4104105,Campo do Tenente (PR),2000,Total,6335
4104105,Campo do Tenente (PR),2000,Urbana,3451
4104105,Campo do Tenente (PR),2000,Rural,2884
4104204,Campo Largo (PR),2000,Total,92782
4104204,Campo Largo (PR),2000,Urbana,77223
4104204,Campo Largo (PR),2000,Rural,15559
4104253,Campo Magro (PR),2000,Total,20409
4104253,Campo Magro (PR),2000,Urbana,2501
4104253,Campo Magro (PR),2000,Rural,17908
4104303,Campo Mourão (PR),2000,Total,80476
4104303,Campo Mourão (PR),2000,Urbana,74754
4104303,Campo Mourão (PR),2000,Rural,5722
4104402,Cândido de Abreu (PR),2000,Total,18795
4104402,Cândido de Abreu (PR),2000,Urbana,4684
4104402,Cândido de Abreu (PR),2000,Rural,14111
4104428,Candói (PR),2000,Total,14185
4104428,Candói (PR),2000,Urbana,5158
4104428,Candói (PR),2000,Rural,9027
4104451,Cantagalo (PR),2000,Total,12810
4104451,Cantagalo (PR),2000,Urbana,7312
4104451,Cantagalo (PR),2000,Rural,5498
4104501,Capanema (PR),2000,Total,18239
4104501,Capanema (PR),2000,Urbana,9311
4104501,Capanema (PR),2000,Rural,8928
4104600,Capitão Leônidas Marques (PR),2000,Total,14377
4104600,Capitão Leônidas Marques (PR),2000,Urbana,9753
4104600,Capitão Leônidas Marques (PR),2000,Rural,4624
4104659,Carambeí (PR),2000,Total,14860
4104659,Carambeí (PR),2000,Urbana,10494
4104659,Carambeí (PR),2000,Rural,4366
4104709,Carlópolis (PR),2000,Total,13305
4104709,Carlópolis (PR),2000,Urbana,8347
4104709,Carlópolis (PR),2000,Rural,4958
4104808,Cascavel (PR),2000,Total,245369
4104808,Cascavel (PR),2000,Urbana,228673
4104808,Cascavel (PR),2000,Rural,16696
4104907,Castro (PR),2000,Total,63581
4104907,Castro (PR),2000,Urbana,43250
4104907,Castro (PR),2000,Rural,20331
4105003,Catanduvas (PR),2000,Total,10421
4105003,Catanduvas (PR),2000,Urbana,4944
4105003,Catanduvas (PR),2000,Rural,5477
4105102,Centenário do Sul (PR),2000,Total,11817
4105102,Centenário do Sul (PR),2000,Urbana,9237
4105102,Centenário do Sul (PR),2000,Rural,2580
4105201,Cerro Azul (PR),2000,Total,16352
4105201,Cerro Azul (PR),2000,Urbana,3916
4105201,Cerro Azul (PR),2000,Rural,12436
4105300,Céu Azul (PR),2000,Total,10445
4105300,Céu Azul (PR),2000,Urbana,7197
4105300,Céu Azul (PR),2000,Rural,3248
4105409,Chopinzinho (PR),2000,Total,20543
4105409,Chopinzinho (PR),2000,Urbana,10529
4105409,Chopinzinho (PR),2000,Rural,10014
4105508,Cianorte (PR),2000,Total,57401
4105508,Cianorte (PR),2000,Urbana,49644
4105508,Cianorte (PR),2000,Rural,7757
4105607,Cidade Gaúcha (PR),2000,Total,9531
4105607,Cidade Gaúcha (PR),2000,Urbana,7681
4105607,Cidade Gaúcha (PR),2000,Rural,1850
4105706,Clevelândia (PR),2000,Total,18338
4105706,Clevelândia (PR),2000,Urbana,14814
4105706,Clevelândia (PR),2000,Rural,3524
4105805,Colombo (PR),2000,Total,183329
4105805,Colombo (PR),2000,Urbana,174962
4105805,Colombo (PR),2000,Rural,8367
4105904,Colorado (PR),2000,Total,20957
4105904,Colorado (PR),2000,Urbana,18772
4105904,Colorado (PR),2000,Rural,2185
4106001,Congonhinhas (PR),2000,Total,7851
4106001,Congonhinhas (PR),2000,Urbana,4704
4106001,Congonhinhas (PR),2000,Rural,3147
4106100,Conselheiro Mairinck (PR),2000,Total,3463
4106100,Conselheiro Mairinck (PR),2000,Urbana,2406
4106100,Conselheiro Mairinck (PR),2000,Rural,1057
4106209,Contenda (PR),2000,Total,13241
4106209,Contenda (PR),2000,Urbana,6320
4106209,Contenda (PR),2000,Rural,6921
4106308,Corbélia (PR),2000,Total,15803
4106308,Corbélia (PR),2000,Urbana,12542
4106308,Corbélia (PR),2000,Rural,3261
4106407,Cornélio Procópio (PR),2000,Total,46861
4106407,Cornélio Procópio (PR),2000,Urbana,42683
4106407,Cornélio Procópio (PR),2000,Rural,4178
4106456,Coronel Domingos Soares (PR),2000,Total,7004
4106456,Coronel Domingos Soares (PR),2000,Urbana,797
4106456,Coronel Domingos Soares (PR),2000,Rural,6207
4106506,Coronel Vivida (PR),2000,Total,23306
4106506,Coronel Vivida (PR),2000,Urbana,14732
4106506,Coronel Vivida (PR),2000,Rural,8574
4106555,Corumbataí do Sul (PR),2000,Total,4946
4106555,Corumbataí do Sul (PR),2000,Urbana,1998
4106555,Corumbataí do Sul (PR),2000,Rural,2948
4106571,Cruzeiro do Iguaçu (PR),2000,Total,4394
4106571,Cruzeiro do Iguaçu (PR),2000,Urbana,2214
4106571,Cruzeiro do Iguaçu (PR),2000,Rural,2180
4106605,Cruzeiro do Oeste (PR),2000,Total,20222
4106605,Cruzeiro do Oeste (PR),2000,Urbana,16056
4106605,Cruzeiro do Oeste (PR),2000,Rural,4166
4106704,Cruzeiro do Sul (PR),2000,Total,4759
4106704,Cruzeiro do Sul (PR),2000,Urbana,2834
4106704,Cruzeiro do Sul (PR),2000,Rural,1925
4106803,Cruz Machado (PR),2000,Total,17667
4106803,Cruz Machado (PR),2000,Urbana,3459
4106803,Cruz Machado (PR),2000,Rural,14208
4106852,Cruzmaltina (PR),2000,Total,3459
4106852,Cruzmaltina (PR),2000,Urbana,1181
4106852,Cruzmaltina (PR),2000,Rural,2278
4106902,Curitiba (PR),2000,Total,1587315
4106902,Curitiba (PR),2000,Urbana,1587315
4106902,Curitiba (PR),2000,Rural,0
4107009,Curiúva (PR),2000,Total,12904
4107009,Curiúva (PR),2000,Urbana,7026
4107009,Curiúva (PR),2000,Rural,5878
4107108,Diamante do Norte (PR),2000,Total,6099
4107108,Diamante do Norte (PR),2000,Urbana,4612
4107108,Diamante do Norte (PR),2000,Rural,1487
4107124,Diamante do Sul (PR),2000,Total,3659
4107124,Diamante do Sul (PR),2000,Urbana,1115
4107124,Diamante do Sul (PR),2000,Rural,2544
4107157,Diamante D'Oeste (PR),2000,Total,4878
4107157,Diamante D'Oeste (PR),2000,Urbana,2480
4107157,Diamante D'Oeste (PR),2000,Rural,2398
4107207,Dois Vizinhos (PR),2000,Total,31986
4107207,Dois Vizinhos (PR),2000,Urbana,22382
4107207,Dois Vizinhos (PR),2000,Rural,9604
4107256,Douradina (PR),2000,Total,6160
4107256,Douradina (PR),2000,Urbana,3717
4107256,Douradina (PR),2000,Rural,2443
4107306,Doutor Camargo (PR),2000,Total,5777
4107306,Doutor Camargo (PR),2000,Urbana,4679
4107306,Doutor Camargo (PR),2000,Rural,1098
4107405,Enéas Marques (PR),2000,Total,6382
4107405,Enéas Marques (PR),2000,Urbana,1250
4107405,Enéas Marques (PR),2000,Rural,5132
4107504,Engenheiro Beltrão (PR),2000,Total,14082
4107504,Engenheiro Beltrão (PR),2000,Urbana,11129
4107504,Engenheiro Beltrão (PR),2000,Rural,2953
4107520,Esperança Nova (PR),2000,Total,2308
4107520,Esperança Nova (PR),2000,Urbana,753
4107520,Esperança Nova (PR),2000,Rural,1555
4107538,Entre Rios do Oeste (PR),2000,Total,3328
4107538,Entre Rios do Oeste (PR),2000,Urbana,1991
4107538,Entre Rios do Oeste (PR),2000,Rural,1337
4107546,Espigão Alto do Iguaçu (PR),2000,Total,5388
4107546,Espigão Alto do Iguaçu (PR),2000,Urbana,1572
4107546,Espigão Alto do Iguaçu (PR),2000,Rural,3816
4107553,Farol (PR),2000,Total,3963
4107553,Farol (PR),2000,Urbana,1944
4107553,Farol (PR),2000,Rural,2019
4107603,Faxinal (PR),2000,Total,15608
4107603,Faxinal (PR),2000,Urbana,12556
4107603,Faxinal (PR),2000,Rural,3052
4107652,Fazenda Rio Grande (PR),2000,Total,62877
4107652,Fazenda Rio Grande (PR),2000,Urbana,59196
4107652,Fazenda Rio Grande (PR),2000,Rural,3681
4107702,Fênix (PR),2000,Total,4942
4107702,Fênix (PR),2000,Urbana,3836
4107702,Fênix (PR),2000,Rural,1106
4107736,Fernandes Pinheiro (PR),2000,Total,6368
4107736,Fernandes Pinheiro (PR),2000,Urbana,1965
4107736,Fernandes Pinheiro (PR),2000,Rural,4403
4107751,Figueira (PR),2000,Total,9038
4107751,Figueira (PR),2000,Urbana,7642
4107751,Figueira (PR),2000,Rural,1396
4107801,Floraí (PR),2000,Total,5285
4107801,Floraí (PR),2000,Urbana,4511
4107801,Floraí (PR),2000,Rural,774
4107850,Flor da Serra do Sul (PR),2000,Total,5059
4107850,Flor da Serra do Sul (PR),2000,Urbana,590
4107850,Flor da Serra do Sul (PR),2000,Rural,4469
4107900,Floresta (PR),2000,Total,5122
4107900,Floresta (PR),2000,Urbana,4386
4107900,Floresta (PR),2000,Rural,736
4108007,Florestópolis (PR),2000,Total,12190
4108007,Florestópolis (PR),2000,Urbana,10238
4108007,Florestópolis (PR),2000,Rural,1952
4108106,Flórida (PR),2000,Total,2434
4108106,Flórida (PR),2000,Urbana,2181
4108106,Flórida (PR),2000,Rural,253
4108205,Formosa do Oeste (PR),2000,Total,8755
4108205,Formosa do Oeste (PR),2000,Urbana,5030
4108205,Formosa do Oeste (PR),2000,Rural,3725
4108304,Foz do Iguaçu (PR),2000,Total,258543
4108304,Foz do Iguaçu (PR),2000,Urbana,256524
4108304,Foz do Iguaçu (PR),2000,Rural,2019
4108320,Francisco Alves (PR),2000,Total,6956
4108320,Francisco Alves (PR),2000,Urbana,4110
4108320,Francisco Alves (PR),2000,Rural,2846
4108403,Francisco Beltrão (PR),2000,Total,67132
4108403,Francisco Beltrão (PR),2000,Urbana,54831
4108403,Francisco Beltrão (PR),2000,Rural,12301
4108452,Foz do Jordão (PR),2000,Total,6378
4108452,Foz do Jordão (PR),2000,Urbana,4312
4108452,Foz do Jordão (PR),2000,Rural,2066
4108502,General Carneiro (PR),2000,Total,13899
4108502,General Carneiro (PR),2000,Urbana,8903
4108502,General Carneiro (PR),2000,Rural,4996
4108551,Godoy Moreira (PR),2000,Total,3836
4108551,Godoy Moreira (PR),2000,Urbana,1468
4108551,Godoy Moreira (PR),2000,Rural,2368
4108601,Goioerê (PR),2000,Total,29750
4108601,Goioerê (PR),2000,Urbana,24534
4108601,Goioerê (PR),2000,Rural,5216
4108650,Goioxim (PR),2000,Total,8086
4108650,Goioxim (PR),2000,Urbana,1832
4108650,Goioxim (PR),2000,Rural,6254
4108700,Grandes Rios (PR),2000,Total,7868
4108700,Grandes Rios (PR),2000,Urbana,3800
4108700,Grandes Rios (PR),2000,Rural,4068
4108809,Guaíra (PR),2000,Total,28659
4108809,Guaíra (PR),2000,Urbana,24878
4108809,Guaíra (PR),2000,Rural,3781
4108908,Guairaçá (PR),2000,Total,5898
4108908,Guairaçá (PR),2000,Urbana,4098
4108908,Guairaçá (PR),2000,Rural,1800
4108957,Guamiranga (PR),2000,Total,7134
4108957,Guamiranga (PR),2000,Urbana,1628
4108957,Guamiranga (PR),2000,Rural,5506
4109005,Guapirama (PR),2000,Total,4068
4109005,Guapirama (PR),2000,Urbana,2917
4109005,Guapirama (PR),2000,Rural,1151
4109104,Guaporema (PR),2000,Total,2244
4109104,Guaporema (PR),2000,Urbana,970
4109104,Guaporema (PR),2000,Rural,1274
4109203,Guaraci (PR),2000,Total,4919
4109203,Guaraci (PR),2000,Urbana,3809
4109203,Guaraci (PR),2000,Rural,1110
4109302,Guaraniaçu (PR),2000,Total,17201
4109302,Guaraniaçu (PR),2000,Urbana,8126
4109302,Guaraniaçu (PR),2000,Rural,9075
4109401,Guarapuava (PR),2000,Total,155161
4109401,Guarapuava (PR),2000,Urbana,141694
4109401,Guarapuava (PR),2000,Rural,13467
4109500,Guaraqueçaba (PR),2000,Total,8288
4109500,Guaraqueçaba (PR),2000,Urbana,2582
4109500,Guaraqueçaba (PR),2000,Rural,5706
4109609,Guaratuba (PR),2000,Total,27257
4109609,Guaratuba (PR),2000,Urbana,23156
4109609,Guaratuba (PR),2000,Rural,4101
4109658,Honório Serpa (PR),2000,Total,6896
4109658,Honório Serpa (PR),2000,Urbana,1443
4109658,Honório Serpa (PR),2000,Rural,5453
4109708,Ibaiti (PR),2000,Total,26448
4109708,Ibaiti (PR),2000,Urbana,19707
4109708,Ibaiti (PR),2000,Rural,6741
4109757,Ibema (PR),2000,Total,5872
4109757,Ibema (PR),2000,Urbana,4438
4109757,Ibema (PR),2000,Rural,1434
4109807,Ibiporã (PR),2000,Total,42153
4109807,Ibiporã (PR),2000,Urbana,39141
4109807,Ibiporã (PR),2000,Rural,3012
4109906,Icaraíma (PR),2000,Total,10048
4109906,Icaraíma (PR),2000,Urbana,6519
4109906,Icaraíma (PR),2000,Rural,3529
4110003,Iguaraçu (PR),2000,Total,3598
4110003,Iguaraçu (PR),2000,Urbana,2814
4110003,Iguaraçu (PR),2000,Rural,784
4110052,Iguatu (PR),2000,Total,2255
4110052,Iguatu (PR),2000,Urbana,1227
4110052,Iguatu (PR),2000,Rural,1028
4110078,Imbaú (PR),2000,Total,9474
4110078,Imbaú (PR),2000,Urbana,5483
4110078,Imbaú (PR),2000,Rural,3991
4110102,Imbituva (PR),2000,Total,24496
4110102,Imbituva (PR),2000,Urbana,14781
4110102,Imbituva (PR),2000,Rural,9715
4110201,Inácio Martins (PR),2000,Total,10963
4110201,Inácio Martins (PR),2000,Urbana,4078
4110201,Inácio Martins (PR),2000,Rural,6885
4110300,Inajá (PR),2000,Total,2915
4110300,Inajá (PR),2000,Urbana,2305
4110300,Inajá (PR),2000,Rural,610
4110409,Indianópolis (PR),2000,Total,4212
4110409,Indianópolis (PR),2000,Urbana,2435
4110409,Indianópolis (PR),2000,Rural,1777
4110508,Ipiranga (PR),2000,Total,13308
4110508,Ipiranga (PR),2000,Urbana,3996
4110508,Ipiranga (PR),2000,Rural,9312
4110607,Iporã (PR),2000,Total,16445
4110607,Iporã (PR),2000,Urbana,11508
4110607,Iporã (PR),2000,Rural,4937
4110656,Iracema do Oeste (PR),2000,Total,2951
4110656,Iracema do Oeste (PR),2000,Urbana,2131
4110656,Iracema do Oeste (PR),2000,Rural,820
4110706,Irati (PR),2000,Total,52352
4110706,Irati (PR),2000,Urbana,39306
4110706,Irati (PR),2000,Rural,13046
4110805,Iretama (PR),2000,Total,11335
4110805,Iretama (PR),2000,Urbana,6156
4110805,Iretama (PR),2000,Rural,5179
4110904,Itaguajé (PR),2000,Total,4771
4110904,Itaguajé (PR),2000,Urbana,3586
4110904,Itaguajé (PR),2000,Rural,1185
4110953,Itaipulândia (PR),2000,Total,6836
4110953,Itaipulândia (PR),2000,Urbana,3757
4110953,Itaipulândia (PR),2000,Rural,3079
4111001,Itambaracá (PR),2000,Total,7090
4111001,Itambaracá (PR),2000,Urbana,5303
4111001,Itambaracá (PR),2000,Rural,1787
4111100,Itambé (PR),2000,Total,5956
4111100,Itambé (PR),2000,Urbana,5378
4111100,Itambé (PR),2000,Rural,578
4111209,Itapejara d'Oeste (PR),2000,Total,9162
4111209,Itapejara d'Oeste (PR),2000,Urbana,4961
4111209,Itapejara d'Oeste (PR),2000,Rural,4201
4111258,Itaperuçu (PR),2000,Total,19344
4111258,Itaperuçu (PR),2000,Urbana,16234
4111258,Itaperuçu (PR),2000,Rural,3110
4111308,Itaúna do Sul (PR),2000,Total,4447
4111308,Itaúna do Sul (PR),2000,Urbana,2790
4111308,Itaúna do Sul (PR),2000,Rural,1657
4111407,Ivaí (PR),2000,Total,11899
4111407,Ivaí (PR),2000,Urbana,3708
4111407,Ivaí (PR),2000,Rural,8191
4111506,Ivaiporã (PR),2000,Total,32270
4111506,Ivaiporã (PR),2000,Urbana,25889
4111506,Ivaiporã (PR),2000,Rural,6381
4111555,Ivaté (PR),2000,Total,6925
4111555,Ivaté (PR),2000,Urbana,3971
4111555,Ivaté (PR),2000,Rural,2954
4111605,Ivatuba (PR),2000,Total,2796
4111605,Ivatuba (PR),2000,Urbana,1926
4111605,Ivatuba (PR),2000,Rural,870
4111704,Jaboti (PR),2000,Total,4590
4111704,Jaboti (PR),2000,Urbana,2641
4111704,Jaboti (PR),2000,Rural,1949
4111803,Jacarezinho (PR),2000,Total,39625
4111803,Jacarezinho (PR),2000,Urbana,33515
4111803,Jacarezinho (PR),2000,Rural,6110
4111902,Jaguapitã (PR),2000,Total,10932
4111902,Jaguapitã (PR),2000,Urbana,8733
4111902,Jaguapitã (PR),2000,Rural,2199
4112009,Jaguariaíva (PR),2000,Total,30780
4112009,Jaguariaíva (PR),2000,Urbana,25621
4112009,Jaguariaíva (PR),2000,Rural,5159
4112108,Jandaia do Sul (PR),2000,Total,19676
4112108,Jandaia do Sul (PR),2000,Urbana,17079
4112108,Jandaia do Sul (PR),2000,Rural,2597
4112207,Janiópolis (PR),2000,Total,8084
4112207,Janiópolis (PR),2000,Urbana,4368
4112207,Janiópolis (PR),2000,Rural,3716
4112306,Japira (PR),2000,Total,4901
4112306,Japira (PR),2000,Urbana,2327
4112306,Japira (PR),2000,Rural,2574
4112405,Japurá (PR),2000,Total,7755
4112405,Japurá (PR),2000,Urbana,6100
4112405,Japurá (PR),2000,Rural,1655
4112504,Jardim Alegre (PR),2000,Total,13673
4112504,Jardim Alegre (PR),2000,Urbana,7134
4112504,Jardim Alegre (PR),2000,Rural,6539
4112603,Jardim Olinda (PR),2000,Total,1523
4112603,Jardim Olinda (PR),2000,Urbana,996
4112603,Jardim Olinda (PR),2000,Rural,527
4112702,Jataizinho (PR),2000,Total,11327
4112702,Jataizinho (PR),2000,Urbana,10317
4112702,Jataizinho (PR),2000,Rural,1010
4112751,Jesuítas (PR),2000,Total,9832
4112751,Jesuítas (PR),2000,Urbana,5408
4112751,Jesuítas (PR),2000,Rural,4424
4112801,Joaquim Távora (PR),2000,Total,9661
4112801,Joaquim Távora (PR),2000,Urbana,6972
4112801,Joaquim Távora (PR),2000,Rural,2689
4112900,Jundiaí do Sul (PR),2000,Total,3659
4112900,Jundiaí do Sul (PR),2000,Urbana,2266
4112900,Jundiaí do Sul (PR),2000,Rural,1393
4112959,Juranda (PR),2000,Total,8134
4112959,Juranda (PR),2000,Urbana,5764
4112959,Juranda (PR),2000,Rural,2370
4113007,Jussara (PR),2000,Total,6299
4113007,Jussara (PR),2000,Urbana,5256
4113007,Jussara (PR),2000,Rural,1043
4113106,Kaloré (PR),2000,Total,5044
4113106,Kaloré (PR),2000,Urbana,3055
4113106,Kaloré (PR),2000,Rural,1989
4113205,Lapa (PR),2000,Total,41838
4113205,Lapa (PR),2000,Urbana,24070
4113205,Lapa (PR),2000,Rural,17768
4113254,Laranjal (PR),2000,Total,7121
4113254,Laranjal (PR),2000,Urbana,1510
4113254,Laranjal (PR),2000,Rural,5611
4113304,Laranjeiras do Sul (PR),2000,Total,30025
4113304,Laranjeiras do Sul (PR),2000,Urbana,23562
4113304,Laranjeiras do Sul (PR),2000,Rural,6463
4113403,Leópolis (PR),2000,Total,4440
4113403,Leópolis (PR),2000,Urbana,2395
4113403,Leópolis (PR),2000,Rural,2045
4113429,Lidianópolis (PR),2000,Total,4783
4113429,Lidianópolis (PR),2000,Urbana,1841
4113429,Lidianópolis (PR),2000,Rural,2942
4113452,Lindoeste (PR),2000,Total,6224
4113452,Lindoeste (PR),2000,Urbana,2382
4113452,Lindoeste (PR),2000,Rural,3842
4113502,Loanda (PR),2000,Total,19549
4113502,Loanda (PR),2000,Urbana,16948
4113502,Loanda (PR),2000,Rural,2601
4113601,Lobato (PR),2000,Total,4064
4113601,Lobato (PR),2000,Urbana,3366
4113601,Lobato (PR),2000,Rural,698
4113700,Londrina (PR),2000,Total,447065
4113700,Londrina (PR),2000,Urbana,433369
4113700,Londrina (PR),2000,Rural,13696
4113734,Luiziana (PR),2000,Total,7540
4113734,Luiziana (PR),2000,Urbana,4138
4113734,Luiziana (PR),2000,Rural,3402
4113759,Lunardelli (PR),2000,Total,5668
4113759,Lunardelli (PR),2000,Urbana,2704
4113759,Lunardelli (PR),2000,Rural,2964
4113809,Lupionópolis (PR),2000,Total,4323
4113809,Lupionópolis (PR),2000,Urbana,3555
4113809,Lupionópolis (PR),2000,Rural,768
4113908,Mallet (PR),2000,Total,12602
4113908,Mallet (PR),2000,Urbana,6862
4113908,Mallet (PR),2000,Rural,5740
